Trn# (Internal - Atual);Deal Original;Trn# (External);Counterpart;Status (LIVE/MKT_OP/DEAD);Desc: Complete Trn.Type(Sum);Trn.Date;Date: Period calc. start;Date: Period calc. end;Date: Period expiry date;Nominal amount (Leg 1);IRD: Leg 1 currency;RT:Current Capital(1st leg);RT:Fix/Var rate (1st leg);RT:Pay/Rec(1st leg,FixRate);RT:Main convention(1st leg);RT:Main fix.freq (1st leg);RT:Main index(1st leg);RT:Main margin(1st leg);RT:Main rate(1st leg);RT:Curr.rate(1st leg);RT:Curr.fixing date(1st leg);RT:Curr.calc1 date(1st leg);RT:Curr.paymnt date(1st leg);RT:Prev.amount(1st leg);RT:Curr.amount(1st leg);RT:Accrual(1st leg);RT:Next fixing date(1st leg);RT:Next calc1 date(1st leg);RT:Interest first exact period flag (1st leg) (Y/N);RT:Interest last exact period flag (1st leg) (Y/N);RT:Principal exchange flag (1st leg) (Y/N);Nominal amount (2nd Leg);IRD: Leg 2 currency;RT:Current Capital(2nd leg);RT:Fix/Var rate (2nd leg);RT:Pay/Rec(2nd leg,FixRate);RT:Main convention(2nd leg);RT:Main fix.freq (2nd leg);RT:Main index(2nd leg);RT:Main margin(2nd leg);RT:Main rate(2nd leg);RT:Curr.rate(2nd leg);RT:Curr.fixing date(2nd leg);RT:Curr.calc1 date(2nd leg);RT:Curr.paymnt date(2nd leg);RT:Prev.amount(2nd leg);RT:Curr.amount(2nd leg);RT:Accrual(2nd leg);RT:Next fixing date(2nd leg);RT:Next calc2 date(2nd leg);RT:Interest first exact period flag (2nd leg) (Y/N);RT:Interest last exact period flag (2nd leg) (Y/N);RT:Principal exchange flag (2nd leg) (Y/N);BUY/SELL;Call/Put;American/European (A/E);Strike;PL currency;Discounted market value;Portfolio;Barrier Value;ZCliente;Número da estrutura;Código do Contrato Assinado;Código do Documento;Counterpart_Shortname;Ficticia;Ref Contract;Conta;cempresa;Proposta;Consumo;Produto;Sub Produto;UTI;Cap;Floor;Caract Mx
11469564;15074127;966403;BANCO SANTANDER SA;Live;OTC Option;09-01-2017;09-01-2017;15-10-2025;15-10-2025;10000000;EUR;18555000;;;;;;;;;;;27-10-2025;;18555000;0;15-10-2025;;;;;;;;;;;;;;;;;;;;;;;;;;;Buy;Call;European;2294.69;EUR;;ST_ALM_SEG_EMI;;3686;13393;13393.002;DR0333957;BSTE;;13393.002;05800044;31;;15955877.47521;102;C1N;1030266796SAN00000000000000000001560393721;;;EQD_OPT_FLEX
11469570;15074562;966403;SANTANDER TOTTA SEGUROS COMPANHIA DE SEGUROS DE VIDA SA;Live;OTC Option;09-01-2017;09-01-2017;15-10-2025;15-10-2025;10000000;EUR;18555000;;;;;;;;;;;27-10-2025;;18555000;0;15-10-2025;;;;;;;;;;;;;;;;;;;;;;;;;;;Sell;Call;European;2294.69;EUR;;ST_ALM_SEG_EMI;;8046077493;13393;13393.001;DR0333958;9TTS;;13393.001;05253982;31;;0;102;C2N;URJH9VSI58SAN00000000000000000000532596610;;;EQD_OPT_FLEX
11284000;15433744;1000948;BANCO SANTANDER SA;Live;OTC Option;27-02-2017;27-02-2017;15-10-2025;15-10-2025;10000000;EUR;38747000;;;;;;;;;;;22-10-2025;;38747000;0;15-10-2025;;;;;;;;;;;;;;;;;;;;;;;;;;;Buy;Call;European;309.73;EUR;;ST_ALM_SEG_EMI;;3686;13414;13414.002;DR0334276;BSTE;;13414.002;05800044;31;;18461100.67406;102;C1N;1030266796SAN00000000000000000001575344921;;;EQD_OPT_FLEX
11284003;15433956;1000948;SANTANDER TOTTA SEGUROS COMPANHIA DE SEGUROS DE VIDA SA;Live;OTC Option;27-02-2017;27-02-2017;15-10-2025;15-10-2025;10000000;EUR;38747000;;;;;;;;;;;22-10-2025;;38747000;0;15-10-2025;;;;;;;;;;;;;;;;;;;;;;;;;;;Sell;Call;European;309.73;EUR;;ST_ALM_SEG_EMI;;8046077493;13414;13414.001;DR0334277;9TTS;;13414.001;05256501;31;;3722399.76945;102;C2N;URJH9VSI58SAN00000000000000000000533413010;;;EQD_OPT_FLEX
12143408;17530021;1205377;BANCO SANTANDER SA;Live;OTC Option;03-01-2018;03-01-2018;17-07-2026;17-07-2026;15000000;EUR;39253000;;;;;;;;;;;24-07-2026;;39253000;0;17-07-2026;;;;;;;;;;;;;;;;;;;;;;;;;;;Buy;Call;European;3606.75;EUR;;ST_ALM_SEG_EMI;;3686;14149;14149.002;DR0336114;BSTE;;14149.002;05800044;31;;30664589.5278;102;C1N;1030266796SAN00000000000000000001644883521;;;EQD_OPT_FLEX
12143411;17530035;1205377;SANTANDER TOTTA SEGUROS COMPANHIA DE SEGUROS DE VIDA SA;Live;OTC Option;03-01-2018;03-01-2018;17-07-2026;17-07-2026;15000000;EUR;39253000;;;;;;;;;;;24-07-2026;;39253000;0;17-07-2026;;;;;;;;;;;;;;;;;;;;;;;;;;;Sell;Call;European;3606.75;EUR;;ST_ALM_SEG_EMI;;8046077493;14149;14149.001;DR0336116;9TTS;;14149.001;05265043;31;;3010908.3967;102;C2N;SAN00000000000000000000538064610;;;EQD_OPT_FLEX
11283974;17853606;1243175;BANCO SANTANDER SA;Live;OTC Option;12-02-2018;12-02-2018;17-07-2026;17-07-2026;30000000;EUR;60174000;;;;;;;;;;;24-07-2026;;60174000;0;17-07-2026;;;;;;;;;;;;;;;;;;;;;;;;;;;Buy;Call;European;299.8;EUR;;ST_ALM_SEG_EMI;;3686;14403;14403.002;DR0336459;BSTE;;14403.002;05800044;31;;43912181.96443;102;C1N;1030266796SAN00000000000000000001653361121;;;EQD_OPT_FLEX
11283981;17853632;1243175;SANTANDER TOTTA SEGUROS COMPANHIA DE SEGUROS DE VIDA SA;Live;OTC Option;12-02-2018;12-02-2018;17-07-2026;17-07-2026;30000000;EUR;60174000;;;;;;;;;;;24-07-2026;;60174000;0;17-07-2026;;;;;;;;;;;;;;;;;;;;;;;;;;;Sell;Call;European;299.8;EUR;;ST_ALM_SEG_EMI;;8046077493;14403;14403.001;DR0336460;9TTS;;14403.001;05265842;31;;7711627.98918;102;C2N;URJH9VSI58SAN00000000000000000000538883310;;;EQD_OPT_FLEX
8026111;7954485;7953011;BANCO SANTANDER SA;Live;OTC Option;15-03-2023;15-03-2023;21-03-2025;21-03-2025;10000000;EUR;22131924.87;;;;;;;;;;;28-03-2025;;22131924.87;0;21-03-2025;;;;;;;;;;;;;;;;;;;;;;;;;;;Buy;Put;European;4050.83;EUR;;ST_ALM_DER_EMI;100;3686;20918;20918.001;DR0345188;BSTE;;20918.001;05800044;31;;3749376.30383;102;P5N;5493006QMFDDMYWIAM13GBO00000000000000000002321157321;;;EQD_OPT_FLEX
8026238;7954492;7953011;EMISSOES PASSIVO, PORTUGAL;Live;OTC Option;15-03-2023;15-03-2023;21-03-2025;21-03-2025;10000000;EUR;22131924.87;;;;;;;;;;;28-03-2025;;22131924.87;0;21-03-2025;;;;;;;;;;;;;;;;;;;;;;;;;;;Sell;Put;European;4050.83;EUR;;ST_ALM_DER_EMI;100;0000041875;20918;20918.002;DR0345189;9CFL;FICTICIA;20918.002;05901046;31;;;102;EN8;URJH9VSI58SAN00000000000000000000569019810;;;EQD_OPT_FLEX
